,additional_underlyings,cfi,contract_tye,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
6944,,OPASPS,put,,american,2023-10-20,BATO,100,16.0,O:PLTR231020P00016000,PLTR
6945,,OPASPS,put,,american,2023-10-20,BATO,100,17.0,O:PLTR231020P00017000,PLTR
6946,,OPASPS,put,,american,2023-10-20,BATO,100,18.0,O:PLTR231020P00018000,PLTR
6947,,OPASPS,put,,american,2023-10-20,BATO,100,19.0,O:PLTR231020P00019000,PLTR
6948,,OPASPS,put,,american,2023-10-20,BATO,100,20.0,O:PLTR231020P00020000,PLTR
6949,,OPASPS,put,,american,2023-10-20,BATO,100,21.0,O:PLTR231020P00021000,PLTR
6950,,OPASPS,put,,american,2023-10-20,BATO,100,22.0,O:PLTR231020P00022000,PLTR
6951,,OPASPS,put,,american,2023-10-20,BATO,100,23.0,O:PLTR231020P00023000,PLTR
6952,,OPASPS,put,,american,2023-10-20,BATO,100,24.0,O:PLTR231020P00024000,PLTR
6953,,OPASPS,put,,american,2023-10-20,BATO,100,25.0,O:PLTR231020P00025000,PLTR
6954,,OPASPS,put,,american,2023-10-20,BATO,100,26.0,O:PLTR231020P00026000,PLTR
6955,,OPASPS,put,,american,2023-10-20,BATO,100,27.0,O:PLTR231020P00027000,PLTR
6956,,OPASPS,put,,american,2023-10-20,BATO,100,28.0,O:PLTR231020P00028000,PLTR
6957,,OPASPS,put,,american,2023-10-20,BATO,100,29.0,O:PLTR231020P00029000,PLTR
6958,,OPASPS,put,,american,2023-10-20,BATO,100,30.0,O:PLTR231020P00030000,PLTR
6959,,OPASPS,put,,american,2023-10-20,BATO,100,31.0,O:PLTR231020P00031000,PLTR
6960,,OPASPS,put,,american,2023-10-20,BATO,100,32.0,O:PLTR231020P00032000,PLTR
6961,,OPASPS,put,,american,2023-10-20,BATO,100,33.0,O:PLTR231020P00033000,PLTR
6962,,OPASPS,put,,american,2023-10-20,BATO,100,34.0,O:PLTR231020P00034000,PLTR
6963,,OPASPS,put,,american,2023-10-20,BATO,100,35.0,O:PLTR231020P00035000,PLTR
6964,,OPASPS,put,,american,2023-10-20,BATO,100,36.0,O:PLTR231020P00036000,PLTR
6965,,OPASPS,put,,american,2023-10-20,BATO,100,37.0,O:PLTR231020P00037000,PLTR
6966,,OPASPS,put,,american,2023-10-20,BATO,100,38.0,O:PLTR231020P00038000,PLTR
6967,,OPASPS,put,,american,2023-10-20,BATO,100,39.0,O:PLTR231020P00039000,PLTR
6968,,OPASPS,put,,american,2023-10-20,BATO,100,40.0,O:PLTR231020P00040000,PLTR
6969,,OPASPS,put,,american,2023-10-27,BATO,100,5.0,O:PLTR231027P00005000,PLTR
6970,,OPASPS,put,,american,2023-10-27,BATO,100,7.0,O:PLTR231027P00007000,PLTR
6971,,OPASPS,put,,american,2023-10-27,BATO,100,8.0,O:PLTR231027P00008000,PLTR
6972,,OPASPS,put,,american,2023-10-27,BATO,100,9.0,O:PLTR231027P00009000,PLTR
6973,,OPASPS,put,,american,2023-10-27,BATO,100,10.0,O:PLTR231027P00010000,PLTR
6974,,OPASPS,put,,american,2023-10-27,BATO,100,10.5,O:PLTR231027P00010500,PLTR
6975,,OPASPS,put,,american,2023-10-27,BATO,100,11.0,O:PLTR231027P00011000,PLTR
6976,,OPASPS,put,,american,2023-10-27,BATO,100,11.5,O:PLTR231027P00011500,PLTR
6977,,OPASPS,put,,american,2023-10-27,BATO,100,12.0,O:PLTR231027P00012000,PLTR
6978,,OPASPS,put,,american,2023-10-27,BATO,100,12.5,O:PLTR231027P00012500,PLTR
6979,,OPASPS,put,,american,2023-10-27,BATO,100,13.0,O:PLTR231027P00013000,PLTR
6980,,OPASPS,put,,american,2023-10-27,BATO,100,13.5,O:PLTR231027P00013500,PLTR
6981,,OPASPS,put,,american,2023-10-27,BATO,100,14.0,O:PLTR231027P00014000,PLTR
6982,,OPASPS,put,,american,2023-10-27,BATO,100,14.5,O:PLTR231027P00014500,PLTR
6983,,OPASPS,put,,american,2023-10-27,BATO,100,15.0,O:PLTR231027P00015000,PLTR
6984,,OPASPS,put,,american,2023-10-27,BATO,100,15.5,O:PLTR231027P00015500,PLTR
6985,,OPASPS,put,,american,2023-10-27,BATO,100,16.0,O:PLTR231027P00016000,PLTR
6986,,OPASPS,put,,american,2023-10-27,BATO,100,16.5,O:PLTR231027P00016500,PLTR
6987,,OPASPS,put,,american,2023-10-27,BATO,100,17.0,O:PLTR231027P00017000,PLTR
6988,,OPASPS,put,,american,2023-10-27,BATO,100,17.5,O:PLTR231027P00017500,PLTR
6989,,OPASPS,put,,american,2023-10-27,BATO,100,18.0,O:PLTR231027P00018000,PLTR
6990,,OPASPS,put,,american,2023-10-27,BATO,100,18.5,O:PLTR231027P00018500,PLTR
6991,,OPASPS,put,,american,2023-10-27,BATO,100,19.0,O:PLTR231027P00019000,PLTR
6992,,OPASPS,put,,american,2023-10-27,BATO,100,19.5,O:PLTR231027P00019500,PLTR
6993,,OPASPS,put,,american,2023-10-27,BATO,100,20.0,O:PLTR231027P00020000,PLTR
6994,,OPASPS,put,,american,2023-10-27,BATO,100,21.0,O:PLTR231027P00021000,PLTR
6995,,OPASPS,put,,american,2023-10-27,BATO,100,22.0,O:PLTR231027P00022000,PLTR
6996,,OPASPS,put,,american,2023-10-27,BATO,100,23.0,O:PLTR231027P00023000,PLTR
6997,,OPASPS,put,,american,2023-10-27,BATO,100,24.0,O:PLTR231027P00024000,PLTR
6998,,OPASPS,put,,american,2023-10-27,BATO,100,25.0,O:PLTR231027P00025000,PLTR
